('Python高级开发工程师', 'https://jobs.51job.com/guangzhou/102889548.html?s=01&t=0', '广州五舟科技股份有限公司', '广州', '1-1.5万/月', '08-15')
('Python 开发工程师', 'https://jobs.51job.com/guangzhou/86184202.html?s=01&t=0', '广州市擎天柱网络科技有限公司', '广州', '0.7-1.4万/月', '08-15')
('python开发工程师', 'https://jobs.51job.com/guangzhou-thq/94063806.html?s=01&t=0', '广州天锐医健信息科技有限公司', '广州-天河区', '6-8千/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/103954830.html?s=01&t=0', '美亚商旅集团', '广州-天河区', '0.6-1.2万/月', '08-15')
('python软件工程师', 'https://jobs.51job.com/guangzhou-thq/105490036.html?s=01&t=0', '广州市天心软件科技有限公司', '广州-天河区', '1-1.5万/月', '08-15')
('Python程序员', 'https://jobs.51job.com/guangzhou-thq/103381975.html?s=01&t=0', '广州鑫尼网络科技有限公司', '广州-天河区', '1-1.2万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/105650243.html?s=01&t=0', '广州源众广告有限公司', '广州-天河区', '6-8千/月', '08-15')
('Python高级开发工程师', 'https://jobs.51job.com/guangzhou-thq/104394892.html?s=01&t=0', '雷克软件系统（深圳）有限公司', '广州-天河区', '1.5-2万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/98622527.html?s=01&t=0', '广州机智云物联网科技有限公司', '广州-天河区', '1-1.8万/月', '08-15')
('Python爬虫开发工程师', 'https://jobs.51job.com/guangzhou-thq/89058279.html?s=01&t=0', '广东揭商控股集团有限公司', '广州-天河区', '0.8-1.2万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-thq/105634328.html?s=01&t=0', '北京云房数据技术有限责任公司广州...', '广州-天河区', '1-1.6万/月', '08-15')
('Python web讲师', 'https://jobs.51job.com/guangzhou-thq/105635959.html?s=01&t=0', '传智播客教育集团广州分校', '广州-天河区', '2-3万/月', '08-15')
('Python全栈开发', 'https://jobs.51job.com/guangzhou-hpq/98192508.html?s=01&t=0', '广东中粤电力科技有限公司', '广州-黄埔区', '0.6-1.2万/月', '08-15')
('少儿编程讲师（Python）', 'https://jobs.51job.com/guangzhou-hpq/105135533.html?s=01&t=0', '广州睿见科技有限公司', '广州-黄埔区', '6-8千/月', '08-15')
('Python讲师/python工程师', 'https://jobs.51job.com/guangzhou-byq/105565177.html?s=01&t=0', '广州牵引力教育科技有限公司', '广州-白云区', '1.5-2万/月', '08-15')
('Python开发工程师', 'https://jobs.51job.com/guangzhou-lwq/104937498.html?s=01&t=0', '广州外宝电子商务有限公司', '广州-荔湾区', '1-1.5万/月', '08-15')
